Pixel Number , FET Card , FET Chan , Preamp Card , Preamp Channel
1 , C , 6 , L , 4 , 99
2 , D , 8 , M , 6 , 100
3 , D , 5 , M , 4 , 101
4 , D , 7 , M , 5 , 102
5 , D , 6 , N , 5 , 103
6 , E , 8 , N , 3 , 104
7 , F , 7 , P , 2 , 105
8 , C , 7 , L , 6 , 98
9 , C , 8 , L , 5 , 68
10 , D , 4 , N , 4 , 69
11 , D , 3 , M , 3 , 70
12 , E , 5 , O , 2 , 71
13 , E , 7 , O , 6 , 72
14 , F , 5 , P , 4 , 73
15 , F , 8 , P , 6 , 106
16 , B , 8 , K , 3 , 97
17 , C , 5 , L , 3 , 67
18 , C , 4 , L , 2 , 43
19 , C , 3 , M , 1 , 44
20 , D , 2 , M , 2 , 45
21 , E , 6 , N , 2 , 46
22 , F , 4 , Q , 5 , 47
23 , F , 6 , Q , 3 , 74
24 , G , 6 , R , 6 , 107
25 , B , 7 , J , 5 , 96
26 , B , 5 , J , 6 , 66
27 , C , 2 , L , 1 , 42
28 , C , 1 , K , 1 , 24
29 , E , 4 , P , 1 , 25
30 , E , 3 , O , 5 , 26
31 , F , 3 , O , 3 , 27
32 , F , 2 , P , 3 , 48
33 , G , 7 , R , 1 , 75
34 , G , 8 , Q , 2 , 108
35 , A , 7 , J , 1 , 95
36 , B , 6 , K , 5 , 65
37 , B , 4 , K , 4 , 41
38 , B , 3 , I , 6 , 23
39 , D , 1 , N , 1 , 11
40 , E , 1 , O , 1 , 12
41 , F , 1 , P , 5 , 13
42 , G , 2 , Q , 6 , 28
43 , G , 4 , R , 3 , 49
44 , G , 5 , Q , 1 , 76
45 , H , 5 , S , 2 , 109
46 , A , 6 , I , 3 , 94
47 , A , 5 , J , 3 , 64
48 , A , 3 , I , 2 , 40
49 , A , 2 , I , 5 , 22
50 , B , 2 , J , 4 , 10
51 , B , 1 , K , 2 , 4
52 , E , 2 , O , 4 , 5
53 , G , 1 , Q , 4 , 14
54 , G , 3 , R , 2 , 29
55 , H , 3 , S , 1 , 50
56 , H , 4 , S , 5 , 77
57 , H , 7 , R , 4 , 110
58 , A , 8 , I , 4 , 93
59 , A , 4 , J , 2 , 63
60 , P , 6 , H , 6 , 39
61 , P , 3 , H , 1 , 21
62 , P , 2 , H , 4 , 9
63 , A , 1 , I , 1 , 3
64 , P , 1 , H , 3 , 2
65 , H , 1 , S , 3 , 6
66 , I , 1 , T , 1 , 15
67 , H , 2 , S , 4 , 30
68 , I , 2 , T , 5 , 51
69 , H , 6 , S , 6 , 78
70 , H , 8 , R , 5 , 111
71 , P , 7 , G , 4 , 128
72 , P , 5 , H , 2 , 92
73 , P , 4 , H , 5 , 62
74 , O , 2 , F , 6 , 38
75 , O , 1 , F , 4 , 20
76 , M , 1 , D , 1 , 8
77 , K , 1 , V , 1 , 7
78 , J , 1 , V , 2 , 16
79 , I , 3 , T , 2 , 31
80 , I , 4 , U , 2 , 52
81 , I , 5 , U , 3 , 79
82 , I , 6 , T , 3 , 112
83 , P , 8 , G , 5 , 127
84 , O , 7 , G , 1 , 91
85 , O , 4 , G , 3 , 61
86 , O , 3 , G , 2 , 37
87 , N , 1 , E , 5 , 19
88 , M , 2 , D , 4 , 18
89 , K , 3 , B , 1 , 17
90 , K , 2 , A , 1 , 32
91 , J , 2 , U , 4 , 53
92 , I , 7 , U , 1 , 80
93 , I , 8 , T , 4 , 113
94 , O , 6 , G , 6 , 126
95 , O , 5 , F , 1 , 90
96 , N , 2 , E , 3 , 60
97 , N , 3 , D , 3 , 36
98 , L , 1 , C , 1 , 35
99 , L , 2 , B , 2 , 34
100 , J , 3 , T , 6 , 33
101 , J , 4 , V , 4 , 54
102 , J , 5 , U , 6 , 81
103 , J , 5 , V , 5 , 114
104 , O , 8 , F , 2 , 125
105 , N , 5 , E , 4 , 89
106 , N , 4 , F , 5 , 59
107 , M , 3 , D , 5 , 58
108 , L , 3 , B , 3 , 57
109 , L , 4 , C , 5 , 56
110 , K , 4 , A , 2 , 55
111 , K , 5 , A , 3 , 82
112 , J , 7 , U , 5 , 115
113 , N , 8 , E , 6 , 124
114 , N , 6 , F , 3 , 88
115 , M , 6 , C , 2 , 87
116 , M , 4 , E , 1 , 86
117 , L , 7 , B , 5 , 85
118 , L , 6 , C , 4 , 84
119 , K , 7 , A , 6 , 83
120 , K , 6 , A , 4 , 116
121 , N , 7 , E , 2 , 123
122 , M , 7 , D , 6 , 122
123 , M , 8 , C , 3 , 121
124 , M , 5 , D , 2 , 120
125 , L , 8 , B , 6 , 119
126 , L , 5 , B , 4 , 118
127 , K , 8 , A , 5 , 117
